Overall Qual,Gr Liv Area,1st Flr SF,Total Bsmt SF,2nd Flr SF,BsmtFin SF 1,Full Bath,Lot Area,Garage Cars,Garage Area,Year Built,Year Remod/Add,Kitchen Qual,Lot Frontage,Bsmt Unf SF,Mas Vnr Area,Neighborhood,Garage Yr Blt,Screen Porch,Wood Deck SF,SalePrice
6,1960,860,860.0,1100,625.0,2,7851,2.0,440.0,2002,2002,2,68.0,235.0,0.0,8,2002.0,0,288,216500
7,1733,847,847.0,886,0.0,2,8577,2.0,433.0,2004,2004,2,63.0,847.0,0.0,8,2004.0,0,144,185088
7,1430,774,384.0,656,250.0,2,7750,2.0,400.0,2000,2000,4,68.0,134.0,0.0,8,2000.0,0,180,180000
7,2035,884,884.0,1151,0.0,2,9505,2.0,434.0,2001,2001,2,68.0,884.0,180.0,8,2001.0,0,144,222500
9,2599,1422,1393.0,1177,0.0,2,14774,3.0,779.0,1999,1999,2,108.0,1393.0,165.0,18,1999.0,0,668,333168
8,2475,1645,1629.0,830,0.0,2,17433,3.0,962.0,1998,1998,2,60.0,1629.0,114.0,18,1998.0,256,23,355000
7,1720,1720,1720.0,0,919.0,2,10593,2.0,527.0,1996,1996,2,59.0,801.0,338.0,18,1996.0,0,240,260400
8,2622,1500,1463.0,1122,1032.0,2,12256,2.0,712.0,1994,1995,2,98.0,431.0,362.0,18,1994.0,0,186,325000
8,2270,1164,1152.0,1106,524.0,2,11764,3.0,671.0,1999,2007,2,92.0,628.0,348.0,18,1999.0,0,132,290000
7,1839,1195,1195.0,644,0.0,2,16770,2.0,486.0,1998,1998,4,58.0,1195.0,30.0,18,1998.0,0,0,221000
8,3238,2053,2033.0,1185,816.0,2,14720,3.0,666.0,1995,1996,2,56.0,1217.0,579.0,18,1996.0,0,283,410000
8,1595,1595,1595.0,0,0.0,2,8987,3.0,880.0,2005,2006,2,73.0,1595.0,226.0,24,2005.0,0,144,221500
7,1218,1218,1218.0,0,0.0,2,9215,2.0,676.0,2009,2010,2,92.0,1218.0,0.0,24,2009.0,0,0,204500
7,1547,764,756.0,783,24.0,2,8640,2.0,614.0,2009,2009,2,72.0,732.0,0.0,24,2009.0,0,169,215200
8,1566,1566,1566.0,0,1078.0,2,9000,2.0,750.0,2008,2008,2,75.0,488.0,36.0,24,2008.0,0,144,262500
7,1947,991,991.0,956,222.0,2,12552,2.0,678.0,2004,2005,2,100.0,769.0,0.0,24,2004.0,0,0,254900
6,1468,1468,1468.0,0,1414.0,2,10440,2.0,528.0,2005,2005,2,84.0,54.0,0.0,24,2005.0,216,0,271500
7,2084,956,956.0,1128,656.0,2,10142,2.0,618.0,2004,2004,2,76.0,300.0,0.0,23,2004.0,0,0,233000
7,1659,831,831.0,828,0.0,2,11920,2.0,484.0,2004,2004,2,70.0,831.0,122.0,23,2004.0,0,144,181000
7,2110,1222,948.0,888,695.0,2,8880,2.0,463.0,1994,2002,2,68.0,253.0,0.0,23,1994.0,0,0,205000
6,923,923,923.0,0,543.0,2,8012,1.0,264.0,1980,1980,4,50.0,261.0,0.0,23,1980.0,0,80,143000
6,1845,1055,1055.0,790,0.0,2,11218,2.0,462.0,1992,1992,2,70.0,1055.0,0.0,23,1992.0,0,635,189000
6,918,918,918.0,0,0.0,2,7892,1.0,264.0,1979,1979,4,55.0,918.0,0.0,23,1979.0,0,28,99500
6,752,752,744.0,0,623.0,1,7175,1.0,264.0,1984,1984,4,50.0,0.0,0.0,23,1984.0,90,353,125000
7,1744,1014,996.0,730,402.0,2,9453,2.0,457.0,1993,2003,2,68.0,594.0,0.0,23,1993.0,0,370,194500
6,1097,1097,1040.0,0,338.0,2,9672,2.0,480.0,1984,1985,4,81.0,702.0,0.0,23,1986.0,0,0,152000
6,1564,888,650.0,676,0.0,2,8400,2.0,476.0,1980,1981,4,70.0,650.0,130.0,23,1980.0,204,0,171000
5,1012,1012,816.0,0,0.0,1,9800,1.0,429.0,1920,1950,4,70.0,816.0,0.0,23,1920.0,0,121,67500
6,1902,1318,0.0,584,0.0,2,8930,2.0,539.0,1978,1978,4,68.0,0.0,0.0,22,1978.0,0,0,112000
5,1155,1155,1109.0,0,899.0,1,11782,2.0,576.0,1961,1995,2,88.0,210.0,0.0,22,1987.0,0,192,148000
5,894,894,894.0,0,553.0,1,8450,1.0,336.0,1965,2009,4,65.0,224.0,0.0,22,1973.0,0,416,138500
5,900,900,882.0,0,450.0,1,9819,1.0,280.0,1967,1967,4,68.0,432.0,31.0,22,1970.0,0,0,122000
5,1040,1040,1040.0,0,824.0,1,7500,1.0,308.0,1963,1963,4,75.0,216.0,0.0,22,1963.0,0,0,133000
5,1040,1040,1040.0,0,659.0,1,6897,1.0,260.0,1962,2010,4,68.0,381.0,0.0,22,1962.0,0,0,127000
6,1494,1494,1208.0,0,126.0,2,15410,2.0,461.0,1974,2002,4,39.0,223.0,250.0,22,1974.0,0,296,169000
7,1923,1061,750.0,862,674.0,2,10186,2.0,564.0,1992,1992,2,107.0,76.0,0.0,18,1992.0,0,240,190000
8,2349,1251,1231.0,1098,250.0,2,13143,3.0,762.0,1993,1993,2,85.0,0.0,504.0,18,1993.0,0,32,362500
8,2225,1402,1390.0,823,1129.0,2,11134,3.0,713.0,1992,1993,2,88.0,261.0,180.0,18,1992.0,0,198,285000
7,1488,1488,1488.0,0,1298.0,2,4835,2.0,506.0,2004,2005,2,25.0,190.0,0.0,24,2004.0,0,168,260000
7,1680,840,840.0,840,0.0,2,3515,2.0,588.0,2004,2004,2,39.0,840.0,0.0,24,2004.0,0,0,190000
7,1200,600,600.0,600,280.0,2,3215,2.0,480.0,2004,2004,2,30.0,320.0,120.0,24,2004.0,0,0,155000
7,1200,600,600.0,600,0.0,2,3182,2.0,480.0,2004,2005,2,30.0,600.0,0.0,24,2004.0,0,0,151000
7,1200,600,600.0,600,368.0,2,2544,2.0,480.0,2004,2005,2,24.0,190.0,0.0,24,2004.0,0,0,149500
6,1236,600,600.0,636,376.0,2,2544,2.0,480.0,2005,2005,2,24.0,224.0,216.0,24,2005.0,0,0,152000
7,1478,1478,1470.0,0,578.0,2,4403,2.0,484.0,2009,2009,2,68.0,892.0,432.0,24,2009.0,0,0,222000
6,1573,769,756.0,804,378.0,2,2117,2.0,440.0,2000,2000,2,68.0,378.0,216.0,24,2000.0,0,0,177500
6,1512,756,756.0,756,466.0,2,2980,2.0,440.0,2000,2000,2,68.0,290.0,1159.0,24,2000.0,0,0,177000
7,1416,696,696.0,720,604.0,2,2572,2.0,484.0,1999,1999,2,24.0,92.0,0.0,24,1999.0,0,0,155000
7,1080,530,530.0,550,244.0,2,2403,2.0,496.0,2003,2003,2,68.0,286.0,0.0,24,2003.0,0,0,147110
8,1418,1418,1642.0,0,1032.0,1,12853,3.0,852.0,2010,2010,2,57.0,610.0,0.0,24,2010.0,0,160,267916
8,1848,975,975.0,873,484.0,2,7379,2.0,592.0,2000,2000,2,68.0,491.0,0.0,24,2000.0,0,280,254000
8,788,788,728.0,0,728.0,1,4420,2.0,484.0,1980,1980,2,30.0,0.0,0.0,9,1980.0,0,133,155000
8,1226,1226,1226.0,0,1052.0,1,3880,2.0,484.0,1978,1978,2,40.0,174.0,0.0,9,1978.0,0,223,206000
6,1479,725,725.0,754,533.0,2,13517,2.0,475.0,1976,2005,2,68.0,192.0,289.0,22,1976.0,0,0,130500
7,1492,1492,1492.0,0,833.0,2,8000,2.0,596.0,2002,2002,2,80.0,659.0,0.0,24,2002.0,0,277,230000
6,1829,1829,1829.0,0,506.0,2,10456,2.0,535.0,1967,1967,4,68.0,1323.0,120.0,17,1967.0,0,0,218500
6,2495,1280,1280.0,1215,1137.0,2,10791,2.0,660.0,1993,1993,2,80.0,143.0,0.0,17,1993.0,0,224,243500
6,1610,1610,1610.0,0,1200.0,2,10603,2.0,480.0,1977,2001,2,68.0,410.0,28.0,17,1977.0,0,168,205000
6,1891,1287,1224.0,604,687.0,3,18837,2.0,678.0,1978,1978,4,68.0,491.0,0.0,17,1978.0,0,0,212500
7,1714,980,980.0,734,394.0,2,10421,2.0,496.0,1988,1988,4,80.0,586.0,42.0,17,1988.0,0,228,196500
6,1381,1381,1161.0,0,982.0,1,9360,2.0,676.0,1972,2006,2,78.0,179.0,0.0,17,1972.0,0,0,197500
6,1645,930,715.0,715,329.0,1,9600,2.0,441.0,1971,1971,4,80.0,386.0,0.0,17,1971.0,0,0,171000
5,1232,1232,1232.0,0,698.0,1,9600,2.0,490.0,1966,1966,4,80.0,534.0,172.0,15,1966.0,0,0,142250
6,1328,1328,1328.0,0,569.0,1,9790,2.0,528.0,1963,1963,4,68.0,678.0,451.0,17,1963.0,0,0,143000
4,1225,1225,950.0,0,569.0,1,9320,0.0,0.0,1959,1959,4,77.0,381.0,0.0,15,1979.0,0,352,128950
5,1209,1209,1209.0,0,1059.0,1,9900,2.0,504.0,1966,1966,4,90.0,150.0,0.0,15,1966.0,0,0,159000
5,1510,1510,1510.0,0,1010.0,2,9680,2.0,517.0,1967,1967,2,88.0,500.0,268.0,15,1967.0,204,0,178900
6,1775,1131,533.0,644,0.0,2,10600,2.0,480.0,1964,1964,4,68.0,533.0,0.0,15,1964.0,0,0,136300
5,1152,1152,1152.0,0,1014.0,1,14112,2.0,484.0,1964,1964,4,68.0,138.0,86.0,15,1964.0,0,227,180500
6,1054,1054,936.0,0,763.0,1,8800,2.0,480.0,1963,1963,2,80.0,173.0,156.0,15,1963.0,0,120,137500
5,1728,1728,1728.0,0,1500.0,2,13260,0.0,0.0,1962,2001,4,98.0,228.0,144.0,15,1979.0,0,0,84900
5,1078,1078,1078.0,0,49.0,1,9717,1.0,240.0,1950,1996,2,68.0,0.0,0.0,15,1950.0,0,366,142125
5,2461,1929,1140.0,532,670.0,2,9724,2.0,400.0,1952,2002,4,68.0,470.0,265.0,15,1994.0,0,0,197600
6,1556,1019,782.0,537,300.0,2,17360,2.0,470.0,1949,1950,4,120.0,482.0,340.0,15,1949.0,0,0,172500
5,858,858,858.0,0,696.0,1,7207,0.0,0.0,1958,2008,4,50.0,162.0,0.0,3,1979.0,0,117,116500
3,1306,1306,728.0,0,0.0,1,5350,0.0,0.0,1940,1966,1,55.0,728.0,0.0,3,1979.0,0,263,76500
5,1063,1063,1056.0,0,354.0,1,9920,1.0,280.0,1954,1954,4,80.0,412.0,110.0,15,1954.0,0,0,128000
6,1520,1520,1156.0,0,674.0,1,9600,1.0,364.0,1955,1972,4,80.0,350.0,164.0,15,1955.0,0,0,153000
5,1268,1268,1268.0,0,540.0,1,7800,1.0,244.0,1954,1954,4,78.0,728.0,200.0,15,1954.0,0,0,132000
6,1128,1128,1080.0,0,944.0,1,11380,1.0,315.0,1966,2008,2,75.0,136.0,216.0,15,1966.0,0,238,178000
5,2274,1105,1105.0,1169,443.0,2,11600,2.0,480.0,1960,1960,4,80.0,662.0,361.0,15,1960.0,0,0,154300
7,2207,2207,1947.0,0,912.0,2,19900,2.0,576.0,1970,1989,4,68.0,1035.0,287.0,15,1970.0,0,301,180000
6,1888,1888,1517.0,0,247.0,2,16492,2.0,578.0,1966,2002,2,137.0,557.0,0.0,15,1966.0,0,0,190000
5,1604,1604,1604.0,0,0.0,2,8267,2.0,576.0,1958,1958,4,70.0,1604.0,0.0,15,1958.0,0,42,135000
7,1480,1480,1480.0,0,1188.0,2,8197,2.0,620.0,2003,2009,2,70.0,292.0,506.0,15,2003.0,0,252,214000
5,1143,1143,1143.0,0,856.0,1,8050,1.0,308.0,1959,1959,4,68.0,125.0,150.0,15,1959.0,0,0,136000
5,1700,1700,1398.0,0,1018.0,1,10552,2.0,447.0,1959,1959,2,70.0,380.0,0.0,15,1959.0,0,0,165500
5,1314,1314,1314.0,0,922.0,1,8400,1.0,294.0,1957,1957,4,70.0,392.0,0.0,15,1957.0,0,250,145000
6,1194,1194,1194.0,0,0.0,1,8760,1.0,312.0,1959,1959,4,73.0,1194.0,220.0,15,1959.0,0,0,148000
5,1188,1188,1188.0,0,1000.0,1,12160,2.0,531.0,1959,1959,4,68.0,188.0,180.0,15,1959.0,0,0,142000
5,1264,1264,1268.0,0,697.0,1,9300,2.0,461.0,1960,1960,4,73.0,571.0,324.0,15,1960.0,143,0,167500
5,1206,1206,1206.0,0,936.0,1,10725,1.0,312.0,1959,1959,4,87.0,270.0,91.0,15,1959.0,0,0,108538
6,1580,1580,1244.0,0,734.0,1,10032,2.0,440.0,1959,1959,4,80.0,510.0,432.0,15,1956.0,160,0,159500
4,1337,832,832.0,505,0.0,1,8382,1.0,263.0,1956,1956,4,60.0,832.0,0.0,15,1956.0,0,0,108000
5,1064,1064,864.0,0,339.0,1,10950,1.0,318.0,1952,1952,1,60.0,525.0,0.0,15,1952.0,0,0,135000
5,972,972,972.0,0,648.0,1,10895,1.0,305.0,1955,1955,4,119.0,324.0,0.0,15,1955.0,0,0,122500
5,988,988,988.0,0,532.0,1,13587,1.0,264.0,1958,1958,4,70.0,456.0,0.0,15,1958.0,0,0,119000
5,1057,1057,1057.0,0,731.0,1,7922,1.0,246.0,1953,2007,2,68.0,326.0,0.0,15,1953.0,0,0,109000
4,985,985,576.0,0,0.0,1,7898,2.0,676.0,1920,1994,4,65.0,576.0,0.0,15,1989.0,0,0,105000
5,827,827,0.0,0,0.0,1,7200,1.0,392.0,1955,2007,4,60.0,0.0,0.0,15,1967.0,0,0,107500
5,1086,1086,1086.0,0,320.0,1,10200,2.0,490.0,1954,2003,4,85.0,404.0,104.0,15,1989.0,0,0,144900
5,936,936,936.0,0,248.0,1,5868,1.0,308.0,1956,2000,4,74.0,448.0,0.0,15,1956.0,160,0,129000
6,1458,912,912.0,546,0.0,1,17503,1.0,330.0,1948,1950,4,78.0,912.0,0.0,15,1948.0,0,192,97500
6,1056,1056,1056.0,0,1056.0,0,6979,2.0,576.0,1980,1980,4,64.0,0.0,0.0,20,1980.0,0,264,144000
5,1287,1287,1063.0,0,72.0,1,9830,2.0,576.0,1959,2006,2,68.0,733.0,0.0,15,1997.0,182,364,162000
7,2978,1898,710.0,1080,0.0,2,11275,2.0,564.0,1967,2007,2,96.0,710.0,300.0,15,1961.0,0,240,242000
6,1224,816,816.0,408,481.0,1,8064,1.0,280.0,1948,2004,4,60.0,161.0,0.0,15,1950.0,0,414,132000
5,1246,1246,1246.0,0,340.0,1,7500,1.0,305.0,1959,1994,2,75.0,0.0,0.0,15,1959.0,0,218,154000
5,1385,910,910.0,475,507.0,2,8520,2.0,720.0,1952,1952,4,71.0,403.0,0.0,15,2000.0,0,0,166000
5,900,900,900.0,0,234.0,1,7200,2.0,576.0,1951,2000,2,60.0,180.0,0.0,15,2005.0,0,222,134800
6,1116,1116,1116.0,0,0.0,1,10000,2.0,440.0,1962,1962,4,87.0,1116.0,261.0,15,1962.0,385,0,160000
5,1175,1175,1175.0,0,588.0,1,7635,2.0,484.0,1960,1960,4,81.0,237.0,0.0,15,1960.0,0,0,148000
6,1395,1395,1395.0,0,717.0,1,9760,2.0,440.0,1963,1984,4,80.0,415.0,218.0,15,1963.0,240,657,192000
6,1839,1051,756.0,788,0.0,1,7700,2.0,442.0,1966,1966,4,70.0,756.0,351.0,15,1966.0,0,0,155000
4,1844,1157,709.0,687,48.0,1,4800,1.0,240.0,1900,1954,4,60.0,661.0,771.0,20,1900.0,0,84,80400
4,1140,792,576.0,348,0.0,1,8800,0.0,0.0,1910,2004,4,55.0,576.0,0.0,20,1979.0,0,0,96500
5,936,936,936.0,0,579.0,1,4485,0.0,0.0,1920,1950,4,56.0,357.0,0.0,20,1979.0,0,51,109500
5,1028,1028,1008.0,0,0.0,1,8960,2.0,360.0,1927,1950,4,56.0,1008.0,0.0,20,1927.0,0,0,115000
5,1347,1347,1347.0,0,274.0,1,5805,2.0,551.0,1957,1957,2,69.0,0.0,0.0,20,1957.0,0,0,143000
3,1605,840,840.0,765,0.0,2,5790,1.0,379.0,1915,1950,4,60.0,840.0,0.0,20,1915.0,0,0,107400
4,747,747,747.0,0,0.0,1,4608,1.0,220.0,1945,1950,4,47.0,747.0,0.0,20,1945.0,0,0,80000
5,804,804,788.0,0,510.0,1,7200,1.0,240.0,1940,1992,2,60.0,278.0,294.0,20,1940.0,0,0,119000
5,1316,926,926.0,0,234.0,1,5500,2.0,484.0,1929,2001,4,50.0,0.0,0.0,20,1974.0,0,0,130000
6,1251,827,827.0,424,0.0,1,6900,1.0,240.0,1938,2000,1,50.0,827.0,0.0,20,1938.0,0,0,119000
5,1633,1027,1027.0,606,780.0,1,11851,1.0,240.0,1948,2009,2,69.0,247.0,0.0,20,1948.0,0,0,129000
5,1245,1060,1008.0,185,176.0,1,8239,1.0,315.0,1920,1962,4,68.0,832.0,0.0,20,1962.0,0,0,100000
2,832,832,678.0,0,0.0,1,9656,2.0,780.0,1923,1970,4,68.0,678.0,0.0,20,1928.0,0,0,12789
6,720,720,624.0,0,0.0,1,8520,2.0,484.0,1928,2003,4,60.0,624.0,0.0,20,2005.0,0,106,105900
8,1566,930,930.0,636,0.0,2,9600,1.0,288.0,1900,2003,2,60.0,930.0,0.0,20,1930.0,0,54,150000
5,1652,966,686.0,686,686.0,2,10800,1.0,416.0,1915,1950,4,60.0,0.0,0.0,20,1961.0,0,0,139000
8,2268,1157,346.0,1111,0.0,3,9000,2.0,624.0,1890,2002,2,50.0,346.0,0.0,20,2003.0,0,0,240000
5,2256,1128,840.0,1128,0.0,2,9045,0.0,0.0,1910,1950,1,100.0,840.0,0.0,20,1979.0,0,0,76500
6,1236,1236,912.0,0,600.0,1,7407,2.0,923.0,1957,1996,4,90.0,312.0,0.0,20,1957.0,0,0,149700
4,1363,741,622.0,622,0.0,1,7740,2.0,528.0,1910,1950,4,60.0,622.0,0.0,20,1966.0,168,0,125500
4,2290,1246,777.0,1044,0.0,2,11340,2.0,560.0,1885,1950,4,60.0,777.0,0.0,20,1971.0,0,0,122500
6,1470,868,738.0,602,283.0,1,10560,2.0,624.0,1922,1994,4,60.0,455.0,0.0,20,1970.0,0,0,140750
5,1612,1030,988.0,582,788.0,1,5830,1.0,363.0,1950,1997,4,53.0,200.0,0.0,3,1950.0,0,0,128500
7,2068,1160,1108.0,908,474.0,1,7793,1.0,315.0,1922,2005,2,68.0,634.0,0.0,3,1928.0,0,0,209500
4,765,765,765.0,0,188.0,1,5000,1.0,200.0,1925,1950,2,50.0,577.0,0.0,3,1926.0,0,135,87000
6,1132,608,608.0,524,452.0,1,6000,1.0,240.0,1939,1950,4,50.0,144.0,0.0,3,1939.0,0,0,134000
6,1196,848,572.0,348,264.0,1,6000,2.0,576.0,1940,1950,4,50.0,308.0,0.0,3,1973.0,0,0,128000
5,1453,955,835.0,498,360.0,1,6360,1.0,240.0,1942,1950,2,53.0,316.0,300.0,3,1942.0,148,0,132000
6,1416,780,780.0,636,300.0,1,6000,1.0,312.0,1948,1950,4,50.0,480.0,0.0,3,1948.0,0,221,139900
5,1040,548,528.0,492,276.0,1,6240,2.0,624.0,1936,1980,4,52.0,252.0,0.0,3,1979.0,0,306,123900
5,1536,928,928.0,608,448.0,2,6240,2.0,480.0,1930,1950,4,52.0,480.0,0.0,3,1930.0,0,0,138400
6,1068,1068,1124.0,0,960.0,1,6120,1.0,288.0,1923,1950,4,51.0,164.0,0.0,20,1923.0,0,0,109500
7,1710,902,576.0,808,0.0,2,10300,2.0,480.0,1921,1950,4,50.0,576.0,0.0,20,1990.0,0,12,140000
4,1962,888,888.0,1074,0.0,1,8094,2.0,572.0,1915,1950,4,57.0,888.0,0.0,20,1915.0,0,160,149500
6,1560,780,780.0,780,0.0,1,12900,0.0,0.0,1912,2009,2,60.0,780.0,0.0,20,1979.0,168,344,159900
6,1324,662,662.0,662,0.0,1,3068,1.0,180.0,1920,1993,4,52.0,662.0,0.0,20,1920.0,0,0,122000
5,816,816,816.0,0,104.0,1,8472,2.0,516.0,1963,1963,4,110.0,0.0,0.0,11,1963.0,0,106,110000
4,1092,372,0.0,720,0.0,2,5600,0.0,0.0,1930,1950,1,70.0,0.0,0.0,11,1979.0,0,0,55000
5,1812,1032,360.0,780,0.0,2,7630,2.0,672.0,1900,1996,2,76.0,360.0,0.0,20,1999.0,0,344,140000
7,2403,1207,1032.0,1196,0.0,2,24090,1.0,349.0,1940,1950,4,68.0,1032.0,0.0,4,1940.0,0,56,244400
